drv_age1,vh_age,vh_cyl,vh_din,pol_bonus,vh_sale_begin,vh_sale_end,vh_value,vh_speed,claim_amount,made_claim
43,21,2477,87,0.5,23,18,23313,135,0.0,0
54,7,1461,68,0.5,9,7,11790,150,501.8,1
68,13,1686,75,0.5,13,11,15450,155,0.0,0
63,6,1242,70,0.5,7,5,9340,159,0.0,0
56,29,1118,55,0.58,30,26,9327,153,0.0,0
50,9,1461,106,0.5,10,9,21500,185,0.0,0
65,9,1587,109,0.5,10,9,20450,180,0.0,0
30,11,1360,74,0.54,13,10,12600,168,0.0,0
62,13,1587,109,0.5,14,12,20150,190,0.0,0
70,16,1870,64,0.5,17,14,12120,161,0.0,0
66,28,1769,60,0.51,32,22,11564,155,0.0,0
84,8,1360,74,0.5,13,13,11850,168,0.0,0
54,7,1560,109,0.5,8,7,21750,191,0.0,0
41,7,1910,120,0.5,10,10,24900,185,1689.07,1
46,15,1390,75,0.5,17,15,11419,170,0.0,0
91,25,1124,55,0.5,28,22,9681,154,93.6,1
66,16,1242,60,0.5,22,20,9468,160,0.0,0
33,15,1870,64,0.51,16,15,16450,158,0.0,0
54,11,2463,135,0.5,12,9,27350,163,0.0,0
41,10,1997,140,0.5,10,7,23900,205,0.0,0
79,9,2362,164,0.5,11,8,27450,220,634.37,1
40,6,1360,75,0.54,6,5,14000,173,0.0,0
55,13,1598,111,0.5,13,9,18500,190,0.0,0
42,19,2068,89,0.5,22,19,26694,160,0.0,0
48,12,1461,82,0.52,12,10,16300,160,1717.75,1
49,8,1461,106,0.5,10,9,21000,185,0.0,0
67,10,1390,75,0.5,10,7,7600,162,0.0,0
61,21,2068,70,0.5,23,20,17913,170,0.0,0
58,8,2720,204,0.5,10,7,44700,230,0.0,0
80,48,2720,71,0.5,50,47,2804,90,0.0,0
84,8,1995,150,0.5,8,7,28400,210,0.0,0
48,8,1587,109,0.5,13,12,16200,182,0.0,0
60,12,1461,66,0.5,14,12,13050,163,0.0,0
89,25,1360,53,0.5,27,21,10458,155,0.0,0
54,16,1896,64,0.5,17,15,10692,144,0.0,0
41,5,1461,111,0.5,7,5,24800,190,0.0,0
59,14,2179,134,0.5,14,11,30600,201,0.0,0
61,17,954,51,0.5,19,17,8980,149,0.0,0
30,21,1905,71,0.64,27,23,15535,165,0.0,0
61,16,1298,81,0.5,17,11,13800,140,0.0,0
49,10,998,66,0.5,12,10,10450,155,0.26,1
92,16,1149,59,0.5,19,16,9620,152,0.0,0
70,19,2290,200,0.5,22,18,39180,235,0.0,0
69,13,1149,75,0.5,15,9,11300,170,0.0,0
82,10,2401,131,0.5,14,11,28600,200,0.0,0
64,21,1237,55,0.64,22,20,8614,150,0.0,0
78,26,2068,67,0.5,29,26,13507,164,0.0,0
29,14,1895,119,0.8,15,14,24850,196,0.0,0
65,18,1390,60,0.5,20,17,10093,160,0.0,0
53,39,602,29,0.5,47,28,7989,100,0.0,0
58,22,1171,60,0.5,23,19,11831,155,0.0,0
31,13,1587,109,0.51,14,11,16300,190,0.0,0
59,11,2188,150,0.5,13,9,34850,188,0.0,0
58,10,2401,131,0.5,14,10,34000,195,0.0,0
49,11,2179,131,0.5,13,10,33450,182,0.0,0
35,5,1397,96,0.63,5,4,17100,185,0.0,0
85,10,1149,75,0.5,11,10,12900,163,0.0,0
57,9,1586,106,0.5,10,8,21500,160,0.0,0
48,15,1390,75,0.5,17,15,11419,170,0.0,0
49,11,1560,109,0.5,11,7,22200,182,0.0,0
77,13,1149,59,0.5,17,15,8522,151,0.0,0
72,7,1598,90,0.5,9,7,11090,167,0.0,0
73,10,1390,98,0.5,14,12,12450,186,394.57,1
56,7,1461,106,0.5,10,9,24100,178,0.0,0
66,13,1868,70,0.5,17,13,13814,144,0.0,0
73,26,2500,75,0.5,28,24,17007,122,0.0,0
82,5,1686,125,0.5,5,4,24450,195,0.0,0
45,9,1997,136,0.5,12,11,23150,202,707.08,1
48,19,1870,94,0.5,20,18,20779,180,0.0,0
67,7,2231,150,0.5,10,6,26400,210,0.0,0
86,12,1360,75,0.5,12,10,11600,169,0.0,0
63,22,1769,60,0.5,31,17,12190,134,0.0,0
78,11,1997,109,0.5,13,11,21150,183,532.76,1
63,19,999,45,0.5,23,21,6495,140,961.15,1
42,18,1769,60,0.5,19,16,13183,135,0.0,0
63,9,1461,86,0.5,10,8,17450,174,418.07,1
93,24,1905,125,0.5,24,23,22822,200,1187.85,1
71,10,2188,150,0.5,13,9,34850,188,0.0,0
28,16,998,68,0.72,16,14,9940,155,0.0,0
57,12,1868,70,0.5,13,8,15100,142,0.0,0
46,24,1769,78,0.5,26,22,15264,175,0.0,0
35,14,1997,90,0.5,16,10,20750,175,0.0,0
50,9,3200,161,0.5,14,11,37550,170,0.0,0
47,8,1328,93,0.5,10,8,13280,175,0.0,0
58,6,1968,140,0.5,7,5,28800,209,0.0,0
77,9,973,60,0.5,12,10,11190,155,0.0,0
86,27,1360,60,0.5,32,28,9651,155,0.0,0
61,5,1124,60,0.5,6,5,11050,159,0.0,0
50,14,1997,111,0.5,16,14,27289,178,0.0,0
54,12,1398,68,0.76,13,9,12438,168,0.0,0
78,6,1598,111,0.5,7,6,20390,195,0.0,0
53,15,2982,125,0.5,17,15,24850,160,0.0,0
35,10,1398,68,0.5,13,13,12900,158,2231.98,1
93,10,1461,82,0.5,13,10,19900,170,0.0,0
38,11,1997,90,0.5,16,10,20750,175,0.0,0
54,5,1995,150,0.5,7,5,30250,190,0.0,0
38,13,1997,109,0.6,14,11,20800,193,0.0,0
70,16,1761,90,0.5,17,15,14788,182,0.0,0
55,21,1587,90,0.5,22,19,15017,180,0.0,0
62,20,1794,94,0.5,22,20,15550,180,0.0,0
40,20,1905,93,0.5,22,19,17029,180,0.0,0
81,16,1761,111,0.5,20,17,19758,192,0.0,0
54,13,2401,164,0.5,14,11,38300,210,0.0,0
72,11,1587,109,0.5,15,12,16050,197,0.0,0
67,14,1761,111,0.5,20,17,19758,192,0.0,0
81,26,1360,66,0.5,28,27,9426,163,0.0,0
76,14,1997,109,0.5,14,11,20800,193,0.0,0
58,5,1461,106,0.5,6,6,27200,180,0.0,0
80,12,999,60,0.5,14,12,8490,145,0.0,0
43,15,973,55,0.68,18,15,9140,150,0.0,0
65,13,1587,111,0.5,13,13,13150,192,0.0,0
60,7,996,66,0.5,7,3,10390,160,0.0,0
75,21,1171,60,0.5,24,20,9955,155,0.0,0
64,13,2953,158,0.5,15,11,38500,160,0.0,0
31,11,1870,120,0.72,12,10,22100,194,0.0,0
57,8,1560,90,0.5,9,6,18750,182,0.0,0
41,11,2982,164,0.85,12,11,48450,170,4739.38,1
67,5,1995,204,0.5,6,3,45850,205,0.0,0
59,7,1360,74,0.5,13,13,11850,168,0.0,0
71,7,1796,184,0.5,7,4,33300,231,0.0,0
58,17,1298,70,0.5,17,15,10657,125,0.0,0
85,17,1390,75,0.5,20,19,13309,170,0.0,0
51,24,2068,89,0.5,31,24,22029,165,0.0,0
34,23,1124,60,0.72,23,21,11465,165,0.0,0
72,14,1679,125,0.5,18,13,17500,203,0.0,0
88,20,954,51,0.5,23,22,8004,149,0.0,0
45,12,2926,184,0.56,14,12,45800,200,513.53,1
58,6,1997,111,0.62,7,5,26800,180,96.3,1
58,16,1783,116,0.5,16,15,19971,203,0.0,0
48,9,1560,90,0.5,9,8,15650,182,0.0,0
44,7,1461,106,0.51,8,4,20600,170,0.0,0
59,20,1389,60,0.5,22,20,9894,155,0.0,0
49,11,1997,109,0.5,12,11,33000,174,0.0,0
47,5,1560,109,0.5,7,5,26850,191,0.0,0
80,14,2148,143,0.5,15,12,39130,215,0.0,0
56,10,3000,245,0.5,11,6,42800,237,504.88,1
61,9,1461,86,0.5,10,9,15050,174,0.0,0
79,12,1997,109,0.5,13,11,24450,192,0.0,0
85,5,1991,150,0.65,6,5,21400,210,0.0,0
54,11,1995,150,0.5,12,10,31750,221,0.0,0
63,14,1896,90,0.5,15,11,16840,180,0.0,0
33,6,1598,120,0.8,6,5,19250,203,0.0,0
87,30,1647,74,0.5,32,29,10199,162,0.0,0
42,12,1910,116,0.64,14,11,18000,192,0.0,0
43,38,1289,36,0.5,46,35,2782,100,0.0,0
67,17,1149,59,0.5,17,17,10199,160,0.0,0
67,11,1461,66,0.51,14,12,13050,163,0.0,0
49,15,1749,116,0.5,16,12,17900,190,0.0,0
72,13,1870,120,0.5,15,14,21648,200,0.0,0
66,9,1248,90,0.5,10,6,20170,174,0.0,0
57,18,1905,93,0.5,20,17,19857,157,0.0,0
66,27,1769,60,0.6,32,22,12867,155,0.0,0
56,12,1995,90,0.5,13,11,20550,170,0.0,0
46,13,2184,127,0.5,13,12,21690,198,0.0,0
33,12,1398,68,0.72,13,13,12900,158,0.0,0
43,20,1905,93,0.52,22,17,24484,180,0.0,0
74,28,956,34,0.5,29,23,6937,118,0.0,0
43,7,1461,85,0.5,8,7,12840,161,0.0,0
53,7,1328,93,0.5,10,5,13090,175,0.0,0
44,14,1997,90,0.57,16,12,20100,180,0.0,0
85,24,1324,75,0.5,26,24,10198,161,0.0,0
65,5,1461,86,0.5,8,3,19900,159,0.0,0
56,15,1390,75,0.5,17,15,11419,170,0.0,0
62,27,1108,32,0.5,33,30,6324,110,0.0,0
39,12,1598,113,0.5,13,10,17350,192,0.0,0
52,15,1590,105,0.5,15,10,19900,165,0.0,0
34,10,1493,82,0.5,12,10,12600,170,0.0,0
73,13,799,41,0.5,15,13,13600,135,0.0,0
55,5,1560,109,0.5,7,5,30200,180,0.0,0
58,14,2799,115,0.5,18,14,24724,140,0.0,0
85,6,1560,109,0.5,6,6,28400,180,0.0,0
30,8,1560,90,0.72,10,8,20900,179,0.0,0
44,12,1461,82,0.5,14,12,15750,175,0.0,0
49,6,1149,75,0.5,7,5,10150,169,0.0,0
37,11,1560,109,0.51,11,10,19400,188,171.42,1
65,16,1391,75,0.5,17,11,15280,171,0.0,0
52,7,1461,64,0.5,8,6,15200,162,0.0,0
81,6,1560,90,0.5,8,6,21650,179,742.22,1
41,7,1398,68,0.5,13,5,18150,158,4232.34,1
36,40,1289,55,0.5,45,35,5794,140,0.0,0
61,8,1461,68,0.5,10,9,13050,163,0.0,0
71,29,2399,73,0.5,32,26,22497,113,0.0,0
45,6,1968,140,0.5,11,8,26040,197,0.0,0
47,7,1398,68,0.5,13,7,15800,164,90.35,1
78,12,1360,74,0.5,13,13,11850,168,0.0,0
47,6,1242,70,0.64,7,1,11500,159,0.0,0
65,12,1390,98,0.5,14,12,13450,181,112.08,1
63,9,1198,55,0.5,10,9,8990,148,0.0,0
55,11,1398,68,0.5,14,10,14500,168,0.0,0
57,18,1360,75,0.5,19,17,14590,150,0.0,0
38,13,1910,116,0.76,14,11,21550,191,0.0,0
56,9,1598,112,0.5,10,9,13750,190,0.0,0
65,14,1686,66,0.68,15,12,12300,162,0.0,0
40,5,1461,106,0.5,8,7,24050,174,0.0,0
45,14,1870,64,0.57,17,15,11876,161,0.0,0
56,5,1461,86,0.5,7,5,19850,171,0.0,0
61,8,1360,74,0.5,9,7,12199,170,965.22,1
51,18,2494,170,0.5,20,19,33067,227,0.0,0
46,5,1242,66,0.5,6,5,11190,155,0.0,0
60,5,1390,86,0.5,7,6,13750,177,0.0,0
82,14,1997,90,0.5,16,10,20750,175,0.0,0
49,14,1686,66,0.5,15,12,12300,162,0.0,0
37,9,1686,125,0.5,9,5,20390,195,0.0,0
56,18,1299,60,0.5,19,16,9971,155,0.0,0
42,15,1870,64,0.5,16,15,13264,145,0.0,0
68,20,954,45,0.5,23,21,9818,145,0.0,0
49,20,1237,55,0.5,22,20,8614,150,0.0,0
71,5,1149,101,0.57,7,5,17450,180,0.0,0
64,13,1199,75,0.5,15,11,10680,155,0.0,0
65,6,998,68,0.5,10,6,8700,157,0.0,0
60,8,2982,173,0.5,9,6,33650,175,0.0,0
45,16,1998,140,0.5,17,15,26146,185,387.43,1
52,15,1769,60,0.5,31,17,12190,134,0.0,0
55,30,1360,60,0.5,32,28,9651,155,0.0,0
55,10,1995,116,0.5,12,9,24300,195,412.69,1
42,14,1124,60,0.54,15,14,9986,164,0.0,0
62,14,1997,90,0.5,15,13,18000,181,0.0,0
60,5,1461,86,0.5,5,5,17990,165,0.0,0
61,17,1870,64,0.5,18,14,13073,145,0.0,0
59,13,1997,90,0.5,14,13,16790,163,0.0,0
62,24,1595,55,0.5,24,21,11818,132,0.0,0
63,11,1896,105,0.5,11,9,24230,177,0.0,0
84,19,1391,60,0.5,21,19,9574,157,0.0,0
51,8,1386,89,0.5,9,7,14700,165,631.35,1
41,21,1527,59,0.5,21,18,11465,155,0.0,0
32,7,1398,68,0.5,9,5,14600,166,0.0,0
52,11,1461,66,0.5,12,10,12900,155,0.0,0
45,17,1896,90,0.5,18,16,25932,177,0.0,0
63,9,1149,59,0.5,15,9,10138,151,0.0,0
61,26,1124,55,0.5,28,22,9681,154,0.0,0
55,12,1896,131,0.5,14,11,31790,203,0.0,0
65,15,1868,70,0.5,17,12,17342,138,0.0,0
79,25,1769,60,0.5,31,17,12190,134,0.0,0
65,20,1341,85,0.5,21,16,9742,175,0.0,0
83,9,1991,109,0.5,10,7,26700,186,955.19,1
50,13,1598,102,0.5,17,11,20960,180,0.0,0
53,6,1397,96,0.5,8,6,15050,185,0.0,0
60,30,2445,73,0.5,32,26,18054,117,0.0,0
55,11,1587,109,0.5,14,11,16300,190,0.0,0
61,19,1597,90,0.5,23,21,12882,178,0.0,0
52,5,998,68,0.8,9,4,11350,157,0.0,0
38,11,1461,82,0.5,11,10,16500,168,3513.72,1
85,13,1995,143,0.5,14,10,28800,218,0.0,0
37,13,1587,109,0.5,14,11,18350,190,0.0,0
57,13,1997,109,0.5,13,11,23460,183,0.0,0
59,13,1149,75,0.5,14,12,11250,170,0.0,0
64,10,1461,68,0.5,10,9,15050,162,0.0,0
72,25,1769,60,0.5,31,17,12190,134,0.0,0
88,21,1390,81,0.5,23,21,13416,173,0.0,0
80,25,1390,81,0.5,27,23,13736,173,0.0,0
66,10,1298,87,0.5,10,10,12750,165,1308.0,1
41,8,1398,68,0.5,13,5,18150,158,2495.89,1
64,5,998,68,0.52,5,5,11600,157,0.0,0
78,16,1149,59,0.5,17,15,8522,151,0.0,0
66,19,4196,279,0.5,19,17,91775,250,0.0,0
46,9,2148,109,0.5,12,9,24004,157,0.0,0
77,9,1598,90,0.5,9,7,11090,167,0.0,0
44,7,1968,143,0.5,7,4,33230,215,0.0,0
72,15,2499,79,0.5,18,15,21695,125,0.0,0
41,16,2446,86,0.5,20,13,21059,132,0.0,0
56,42,3785,86,0.5,46,29,22529,110,0.0,0
58,12,1997,90,0.5,15,13,17400,180,0.0,0
50,13,1870,81,0.5,14,12,19700,162,0.0,0
54,8,1995,177,0.5,8,7,39750,230,0.0,0
87,9,1560,90,0.5,10,10,17500,179,2517.62,1
36,11,1896,101,0.5,13,11,16200,190,0.0,0
54,25,1360,66,0.5,28,27,9426,163,0.0,0
70,18,1242,60,0.5,22,20,9468,160,0.0,0
48,14,3200,165,0.5,15,14,33509,170,0.0,0
38,20,1237,55,0.5,20,19,10062,150,0.0,0
75,20,1769,60,0.5,31,17,12190,134,0.0,0
86,7,1560,90,0.5,10,10,15450,180,0.0,0
57,20,1196,45,0.5,21,17,9292,145,0.0,0
57,11,1783,117,0.5,15,11,22050,203,0.0,0
79,7,1149,101,0.5,8,5,16700,183,1244.21,1
63,25,2445,73,0.5,32,26,18262,105,0.0,0
50,24,1124,55,0.5,28,22,9681,154,0.0,0
60,16,954,51,0.51,19,17,8980,149,0.0,0
45,7,1149,59,0.5,8,6,10100,150,0.0,0
45,18,2188,113,0.5,20,18,20444,195,0.0,0
67,7,1560,109,0.5,8,7,27000,180,0.0,0
50,17,1299,60,0.5,19,18,9041,155,0.0,0
70,6,1398,68,0.5,7,5,16500,158,0.0,0
58,12,1461,66,0.5,13,12,13754,146,0.0,0
50,10,1870,120,0.5,11,10,25450,188,0.0,0
54,14,1587,109,0.5,15,12,15050,197,0.0,0
65,8,1364,90,0.5,10,8,15100,175,594.04,1
61,16,1598,108,0.5,16,15,18279,195,0.0,0
51,10,1587,109,0.5,14,11,16300,190,0.0,0
53,21,1043,45,0.5,24,22,8263,145,0.0,0
66,6,998,68,0.5,10,5,9450,157,0.0,0
38,14,2179,136,0.5,14,10,30600,205,0.0,0
62,12,1149,59,0.5,15,9,10138,151,0.0,0
32,14,1870,102,0.6,14,12,20900,174,0.0,0
56,15,1997,90,0.5,16,14,18035,180,0.0,0
48,17,2461,140,0.6,17,16,33311,195,0.0,0
83,8,1398,68,0.5,13,13,14520,168,6439.1,1
71,11,1598,113,0.5,12,10,20800,185,0.0,0
45,28,1781,90,0.51,29,24,16408,164,0.0,0
54,5,1998,147,0.5,7,4,30600,186,0.0,0
71,8,1598,112,0.5,10,9,15850,186,0.0,0
43,6,1198,60,0.5,8,6,11450,157,0.0,0
33,10,1360,90,0.8,12,10,14300,179,0.0,0
60,13,2188,115,0.56,15,13,32050,176,0.0,0
61,8,998,68,0.5,10,6,8700,157,0.0,0
43,8,2967,225,0.5,11,9,54790,243,3056.42,1
66,10,1997,136,0.5,11,8,27600,208,0.0,0
49,9,1149,59,0.5,15,9,10138,151,0.0,0
58,15,1360,75,0.5,17,13,15340,170,1308.0,1
52,18,1905,70,0.5,18,17,15687,162,0.0,0
61,7,1560,109,0.5,6,6,23850,183,0.0,0
34,5,1390,75,0.9,6,5,9500,162,0.0,0
78,19,1905,71,0.5,27,23,15535,165,0.0,0
77,18,1108,55,0.5,21,17,8263,150,2327.6,1
43,8,1896,105,0.5,12,8,21370,187,0.0,0
55,6,1560,90,0.5,9,8,15150,182,0.0,0
87,20,1171,60,0.5,23,19,10199,155,0.0,0
41,29,2494,172,0.5,30,26,30894,212,0.0,0
50,5,1461,111,0.5,7,5,24800,190,0.0,0
60,22,1389,60,0.5,22,20,9894,155,0.0,0
67,10,1868,70,0.5,13,10,14400,142,0.0,0
34,9,1870,125,0.54,10,9,23300,190,0.0,0
65,11,1149,75,0.5,15,9,11300,170,0.0,0
40,16,1998,109,0.72,17,12,22700,191,0.0,0
33,13,1149,75,0.5,14,12,11250,170,0.0,0
50,7,1896,105,0.5,12,6,27010,187,0.0,0
68,13,1198,64,0.5,14,11,12510,162,0.0,0
78,13,1997,109,0.5,14,13,22000,192,0.0,0
81,15,1360,75,0.5,17,12,11950,170,0.0,0
81,8,1587,109,0.5,11,7,20100,194,1244.21,1
74,11,1390,98,0.5,14,12,13450,181,0.0,0
52,8,1560,109,0.5,8,7,24840,180,0.0,0
45,12,2188,150,0.5,13,9,34100,188,0.0,0
54,11,1753,101,0.5,13,11,19300,186,0.0,0
52,9,1968,140,0.5,11,9,30780,207,0.0,0
61,5,1560,90,0.5,6,5,22150,180,0.0,0
41,14,1870,102,0.85,15,13,23350,185,0.0,0
84,8,1560,109,0.5,11,7,25000,192,0.0,0
61,26,1108,48,0.5,31,20,7890,143,0.0,0
58,18,1598,75,0.5,23,22,12959,168,249.27,1
46,8,1461,68,0.5,9,7,11790,150,0.0,0
75,8,1398,68,0.5,13,5,18150,158,0.0,0
50,15,1997,90,0.5,16,10,16200,180,0.0,0
54,20,1108,56,0.5,22,20,9254,150,0.0,0
56,9,1995,164,0.5,10,8,33450,225,0.0,0
53,5,1997,140,0.5,5,3,28200,186,0.0,0
27,11,1398,68,0.64,13,13,12319,158,0.0,0
67,30,1598,90,0.5,33,29,10017,171,0.0,0
79,5,1598,105,0.5,5,4,28000,185,0.0,0
46,19,2438,135,0.5,24,17,30489,180,0.0,0
34,7,1560,109,0.57,7,7,23450,190,0.0,0
56,8,1398,68,0.5,9,5,14600,166,0.0,0
53,8,2149,170,0.5,8,6,34250,229,0.0,0
61,10,1149,75,0.5,11,10,12900,163,0.0,0
73,6,1398,55,0.5,10,4,11900,154,0.0,0
50,11,1997,94,0.5,15,13,21643,157,0.0,0
70,11,1240,81,0.5,12,7,11100,167,1272.2,1
29,7,1560,109,0.6,7,5,23450,191,0.0,0
60,6,1461,86,0.5,7,4,13450,161,0.0,0
43,11,1997,90,0.5,13,11,18550,163,0.0,0
53,14,1985,150,0.5,15,14,33051,210,0.0,0
66,5,1753,116,0.5,8,6,22200,193,0.0,0
65,12,1461,66,0.5,14,12,13050,163,0.0,0
48,15,1868,70,0.5,17,13,12290,161,0.0,0
70,15,1870,81,0.5,15,14,14532,160,0.0,0
61,6,998,68,0.5,10,6,8700,157,0.0,0
45,12,1398,68,0.5,13,10,15050,168,0.0,0
28,17,973,55,0.68,18,15,9140,150,0.0,0
59,15,1360,75,0.5,17,12,11950,170,0.0,0
83,11,1149,59,0.5,15,9,10138,151,0.0,0
68,8,1398,68,0.5,13,5,18150,158,0.0,0
35,6,1242,70,0.64,8,6,10990,160,1244.21,1
59,6,1461,64,0.5,8,7,14600,162,0.0,0
41,15,2435,165,0.5,17,15,29118,220,0.0,0
57,16,1761,90,0.5,17,15,14788,182,0.0,0
62,13,1124,60,0.5,15,12,9300,164,0.0,0
42,26,845,29,0.5,33,29,5603,115,0.0,0
50,14,1998,109,0.5,17,12,21300,191,0.0,0
50,17,1868,70,0.5,17,13,13096,144,0.0,0
43,7,1968,170,0.5,9,7,33610,220,0.0,0
65,17,1905,93,0.5,22,19,17029,180,0.0,0
43,7,1560,90,0.5,11,7,18800,180,0.0,0
71,19,1769,60,0.5,31,17,12190,134,0.0,0
65,12,1598,96,0.5,14,12,13900,160,0.0,0
49,11,1493,82,0.5,12,10,12600,170,0.0,0
52,26,1124,55,0.5,29,22,8553,161,0.0,0
48,25,3988,178,0.5,27,25,30643,170,0.0,0
54,24,2499,75,0.5,26,19,28884,109,0.0,0
35,7,1461,106,0.92,7,5,24550,190,0.0,0
62,12,1589,87,0.64,14,11,12678,167,0.0,0
75,24,1753,60,0.5,27,24,11655,151,0.0,0
34,11,1870,120,0.5,12,10,24150,188,716.49,1
89,38,954,44,0.5,41,35,3873,135,0.0,0
47,21,1237,55,0.5,22,20,8614,150,420.13,1
39,14,1997,90,0.5,15,13,15950,163,0.0,0
47,14,1997,90,0.5,16,10,20750,175,0.0,0
67,6,1461,86,0.5,9,5,17950,174,0.0,0
82,5,1598,87,0.58,7,6,9650,175,0.0,0
68,14,2148,143,0.5,15,11,31300,220,0.0,0
69,23,1108,34,0.5,30,19,22868,122,0.0,0
63,32,2445,67,0.5,33,32,13514,104,0.0,0
54,17,2494,170,0.5,17,15,31253,231,0.0,0
39,8,1896,105,0.52,11,10,17400,166,0.0,0
63,26,2068,67,0.5,29,26,13507,164,1308.0,1
33,11,1596,109,0.5,12,10,20150,185,0.0,0
